"GEO","National Occupational Classification","VALUE"
"Ontario","Land surveyors [2154]","0"
"Ontario","Mathematicians, statisticians and actuaries [216]","115"
"Ontario","Mathematicians, statisticians and actuaries [2161]","115"
"Ontario","Computer and information systems professionals [217]","7540"
"Ontario","Information systems analysts and consultants [2171]","2875"
"Ontario","Database analysts and data administrators [2172]","855"
"Ontario","Software engineers and designers [2173]","1665"
"Ontario","Computer programmers and interactive media developers [2174]","1910"
"Ontario","Web designers and developers [2175]","0"
"Ontario","Technical occupations related to natural and applied sciences [22]","7430"
"Ontario","Technical occupations in physical sciences [221]","505"
"Ontario","Chemical technologists and technicians [2211]","420"
"Ontario","Geological and mineral technologists and technicians [2212]","85"
"Ontario","Technical occupations in life sciences [222]","0"
"Ontario","Biological technologists and technicians [2221]","0"
"Ontario","Agricultural and fish products inspectors [2222]","0"
"Ontario","Forestry technologists and technicians [2223]","0"
"Ontario","Conservation and fishery officers [2224]","0"
"Ontario","Landscape and horticulture technicians and specialists [2225]","0"
"Ontario","Technical occupations in civil, mechanical and industrial engineering [223]","2300"
"Ontario","Civil engineering technologists and technicians [2231]","435"
"Ontario","Mechanical engineering technologists and technicians [2232]","525"
"Ontario","Industrial engineering and manufacturing technologists and technicians [2233]","915"
"Ontario","Construction estimators [2234]","425"
"Ontario","Technical occupations in electronics and electrical engineering [224]","860"
"Ontario","Electrical and electronics engineering technologists and technicians [2241]","350"
"Ontario","Electronic service technicians (household and business equipment) [2242]","365"
"Ontario","Industrial instrument technicians and mechanics [2243]","0"
"Ontario","Aircraft instrument, electrical and avionics mechanics, technicians and inspectors [2244]","0"
"Ontario","Technical occupations in architecture, drafting, surveying, geomatics and meteorology [225]","630"
"Ontario","Architectural technologists and technicians [2251]","0"
"Ontario","Industrial designers [2252]","0"
"Ontario","Drafting technologists and technicians [2253]","280"
"Ontario","Land survey technologists and technicians [2254]","0"
"Ontario","Technical occupations in geomatics and meteorology [2255]","65"
"Ontario","Other technical inspectors and regulatory officers [226]","1060"
"Ontario","Non-destructive testers and inspection technicians [2261]","0"
"Ontario","Engineering inspectors and regulatory officers [2262]","0"
"Ontario","Inspectors in public and environmental health and occupational health and safety [2263]","445"
"Ontario","Construction inspectors [2264]","0"
"Ontario","Transportation officers and controllers [227]","0"
"Ontario","Air pilots, flight engineers and flying instructors [2271]","0"
"Ontario","Air traffic controllers and related occupations [2272]","0"
"Ontario","Deck officers, water transport [2273]","0"
"Ontario","Engineer officers, water transport [2274]","0"
"Ontario","Railway traffic controllers and marine traffic regulators [2275]","0"
"Ontario","Technical occupations in computer and information systems [228]","1430"
"Ontario","Computer network technicians [2281]","0"
"Ontario","User support technicians [2282]","925"
"Ontario","Information systems testing technicians [2283]","20"
"Ontario","Health occupations [3]","33780"
"Ontario","Professional occupations in nursing [30]","10830"
"Ontario","Professional occupations in nursing [301]","10830"
"Ontario","Nursing co-ordinators and supervisors [3011]","330"
"Ontario","Registered nurses and registered psychiatric nurses [3012]","10500"
"Ontario","Professional occupations in health (except nursing) [31]","3285"
"Ontario","Physicians, dentists and veterinarians [311]","480"
"Ontario","Specialist physicians [3111]","0"
"Ontario","General practitioners and family physicians [3112]","0"
"Ontario","Dentists [3113]","0"
"Ontario","Veterinarians [3114]","250"
"Ontario","Optometrists, chiropractors and other health diagnosing and treating professionals [312]","770"
"Ontario","Optometrists [3121]","0"
"Ontario","Chiropractors [3122]","0"
"Ontario","Allied primary health practitioners [3124]","685"
"Ontario","Other professional occupations in health diagnosing and treating [3125]","0"
"Ontario","Pharmacists, dietitians and nutritionists [313]","700"
"Ontario","Pharmacists [3131]","575"
"Ontario","Dietitians and nutritionists [3132]","125"
"Ontario","Therapy and assessment professionals [314]","1340"
"Ontario","Audiologists and speech-language pathologists [3141]","240"
"Ontario","Physiotherapists [3142]","600"
"Ontario","Occupational therapists [3143]","400"
"Ontario","Other professional occupations in therapy and assessment [3144]","0"
"Ontario","Technical occupations in health [32]","11140"
"Ontario","Medical technologists and technicians (except dental health) [321]","3100"
"Ontario","Medical laboratory technologists [3211]","595"
"Ontario","Medical laboratory technicians and pathologists' assistants [3212]","0"
"Ontario","Animal health technologists and veterinary technicians [3213]","360"
"Ontario","Respiratory therapists, clinical perfusionists and cardiopulmonary technologists [3214]","275"
"Ontario","Medical radiation technologists [3215]","375"
"Ontario","Medical sonographers [3216]","250"
"Ontario","Cardiology technologists and electrophysiological diagnostic technologists, not elsewhere classified (n.e.c.) [3217]","85"
"Ontario","Other medical technologists and technicians (except dental health) [3219]","815"
"Ontario","Technical occupations in dental health care [322]","825"
"Ontario","Denturists [3221]","0"
"Ontario","Dental hygienists and dental therapists [3222]","825"
"Ontario","Dental technologists, technicians and laboratory assistants [3223]","0"
"Ontario","Other technical occupations in health care [323]","7215"
"Ontario","Opticians [3231]","0"
"Ontario","Practitioners of natural healing [3232]","0"
"Ontario","Licensed practical nurses [3233]","5965"
"Ontario","Paramedical occupations [3234]","220"
"Ontario","Massage therapists [3236]","0"
"Ontario","Other technical occupations in therapy and assessment [3237]","205"
"Ontario","Assisting occupations in support of health services [34]","8525"
"Ontario","Assisting occupations in support of health services [341]","8525"
"Ontario","Dental assistants [3411]","595"
"Ontario","Nurse aides, orderlies and patient service associates [3413]","7300"
"Ontario","Other assisting occupations in support of health services [3414]","630"
"Ontario","Occupations in education, law and social, community and government services [4]","22900"
"Ontario","Professional occupations in education services [40]","4190"
"Ontario","University professors and post-secondary assistants [401]","1105"
"Ontario","University professors and lecturers [4011]","515"
"Ontario","Post-secondary teaching and research assistants [4012]","590"
"Ontario","College and other vocational instructors [402]","535"
"Ontario","College and other vocational instructors [4021]","535"
"Ontario","Secondary and elementary school teachers and educational counsellors [403]","2545"
"Ontario","Secondary school teachers [4031]","0"
"Ontario","Elementary school and kindergarten teachers [4032]","0"
"Ontario","Educational counsellors [4033]","0"
"Ontario","Professional occupations in law and social, community and government services [41]","5125"
"Ontario","Judges, lawyers and Quebec notaries [411]","590"
"Ontario","Judges [4111]","0"
"Ontario","Lawyers and Quebec notaries [4112]","590"
"Ontario","Social and community service professionals [415]","2270"
"Ontario","Psychologists [4151]","345"
"Ontario","Social workers [4152]","575"
"Ontario","Family, marriage and other related counsellors [4153]","1225"
"Ontario","Professional occupations in religion [4154]","0"
"Ontario","Probation and parole officers and related occupations [4155]","0"
"Ontario","Employment counsellors [4156]","80"
"Ontario","Policy and program researchers, consultants and officers [416]","2265"
"Ontario","Natural and applied science policy researchers, consultants and program officers [4161]","225"
"Ontario","Economists and economic policy researchers and analysts [4162]","0"
"Ontario","Business development officers and marketing researchers and consultants [4163]","325"
"Ontario","Social policy researchers, consultants and program officers [4164]","275"
"Ontario","Health policy researchers, consultants and program officers [4165]","700"
"Ontario","Education policy researchers, consultants and program officers [4166]","145"
"Ontario","Recreation, sports and fitness policy researchers, consultants and program officers [4167]","175"
"Ontario","Program officers unique to government [4168]","0"
"Ontario","Other professional occupations in social science, not elsewhere classified (n.e.c.) [4169]","75"
"Ontario","Paraprofessional occupations in legal, social, community and education services [42]","9055"
"Ontario","Paraprofessional occupations in legal, social, community and education services [421]","9055"
"Ontario","Paralegal and related occupations [4211]","525"
"Ontario","Social and community service workers [4212]","4685"
"Ontario","Early childhood educators and assistants [4214]","3705"
"Ontario","Instructors of persons with disabilities [4215]","25"
"Ontario","Other instructors [4216]","105"
"Ontario","Other religious occupations [4217]","10"
"Ontario","Occupations in front-line public protection services [43]","325"
"Ontario","Occupations in front-line public protection services [431]","325"
"Ontario","Police officers (except commissioned) [4311]","120"
"Ontario","Firefighters [4312]","205"
"Ontario","Non-commissioned ranks of the Canadian Armed Forces [4313]","0"
"Ontario","Care providers and educational, legal and public protection support occupations [44]","4210"
"Ontario","Home care providers and educational support occupations [441]","4145"
"Ontario","Home child care providers [4411]","0"
"Ontario","Home support workers, housekeepers and related occupations [4412]","3005"
"Ontario","Elementary and secondary school teacher assistants [4413]","1140"
"Ontario","Legal and public protection support occupations [442]","65"
"Ontario","Sheriffs and bailiffs [4421]","0"
"Ontario","Correctional service officers [4422]","0"
"Ontario","By-law enforcement and other regulatory officers, not elsewhere classified (n.e.c.) [4423]","65"
"Ontario","Occupations in art, culture, recreation and sport [5]","4850"
"Ontario","Professional occupations in art and culture [51]","605"
"Ontario","Librarians, archivists, conservators and curators [511]","60"
"Ontario","Librarians [5111]","30"
"Ontario","Conservators and curators [5112]","25"
"Ontario","Archivists [5113]","5"
"Ontario","Writing, translating and related communications professionals [512]","355"
"Ontario","Authors and writers [5121]","260"
"Ontario","Editors [5122]","0"
"Ontario","Journalists [5123]","0"
"Ontario","Translators, terminologists and interpreters [5125]","25"
"Ontario","Creative and performing artists [513]","195"
"Ontario","Producers, directors, choreographers and related occupations [5131]","0"
"Ontario","Conductors, composers and arrangers [5132]","0"
"Ontario","Musicians and singers [5133]","10"
"Ontario","Dancers [5134]","0"
"Ontario","Actors and comedians [5135]","0"
"Ontario","Painters, sculptors and other visual artists [5136]","0"
"Ontario","Technical occupations in art, culture, recreation and sport [52]","4245"
"Ontario","Technical occupations in libraries, public archives, museums and art galleries [521]","110"
"Ontario","Library and public archive technicians [5211]","35"
"Ontario","Technical occupations related to museums and art galleries [5212]","75"
"Ontario","Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [522]","390"
"Ontario","Photographers [5221]","0"
"Ontario","Film and video camera operators [5222]","0"
"Ontario","Graphic arts technicians [5223]","0"
"Ontario","Broadcast technicians [5224]","0"
"Ontario","Audio and video recording technicians [5225]","0"
"Ontario","Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [5226]","0"
"Ontario","Support occupations in motion pictures, broadcasting, photography and the performing arts [5227]","0"
"Ontario","Announcers and other performers, not elsewhere classified (n.e.c.) [523]","0"
"Ontario","Announcers and other broadcasters [5231]","10"
"Ontario","Other performers, not elsewhere classified (n.e.c.) [5232]","0"
"Ontario","Creative designers and craftspersons [524]","815"
"Ontario","Graphic designers and illustrators [5241]","470"
"Ontario","Interior designers and interior decorators [5242]","0"
"Ontario","Theatre, fashion, exhibit and other creative designers [5243]","0"
"Ontario","Artisans and craftspersons [5244]","0"
"Ontario","Patternmakers - textile, leather and fur products [5245]","0"
"Ontario","Athletes, coaches, referees and related occupations [525]","2695"
"Ontario","Athletes [5251]","0"
"Ontario","Coaches [5252]","0"
"Ontario","Sports officials and referees [5253]","0"
"Ontario","Program leaders and instructors in recreation, sport and fitness [5254]","2015"
"Ontario","Sales and service occupations [6]","78460"
"Ontario","Retail sales supervisors and specialized sales occupations [62]","4315"
"Ontario","Retail sales supervisors [621]","875"
"Ontario","Retail sales supervisors [6211]","875"
"Ontario","Technical sales specialists in wholesale trade and retail and wholesale buyers [622]","1370"
"Ontario","Technical sales specialists - wholesale trade [6221]","1305"
"Ontario","Retail and wholesale buyers [6222]","0"
"Ontario","Insurance, real estate and financial sales occupations [623]","2065"
"Ontario","Insurance agents and brokers [6231]","755"
"Ontario","Real estate agents and salespersons [6232]","0"
"Ontario","Financial sales representatives [6235]","1105"
"Ontario","Service supervisors and specialized service occupations [63]","11955"
"Ontario","Service supervisors [631]","3090"
"Ontario","Food service supervisors [6311]","2565"
"Ontario","Executive housekeepers [6312]","0"
"Ontario","Accommodation, travel, tourism and related services supervisors [6313]","55"
"Ontario","Customer and information services supervisors [6314]","0"
"Ontario","Cleaning supervisors [6315]","165"
"Ontario","Other services supervisors [6316]","80"
"Ontario","Chefs and cooks [632]","7105"
"Ontario","Chefs [6321]","1245"
"Ontario","Cooks [6322]","5860"
"Ontario","Butchers and bakers [633]","620"
"Ontario","Butchers, meat cutters and fishmongers - retail and wholesale [6331]","0"
"Ontario","Bakers [6332]","215"
"Ontario","Specialized occupations in personal and customer services [634]","1145"
"Ontario","Hairstylists and barbers [6341]","935"
"Ontario","Tailors, dressmakers, furriers and milliners [6342]","0"
"Ontario","Shoe repairers and shoemakers [6343]","0"
"Ontario","Jewellers, jewellery and watch repairers and related occupations [6344]","0"
"Ontario","Upholsterers [6345]","0"
"Ontario","Funeral directors and embalmers [6346]","0"
"Ontario","Sales representatives and salespersons - wholesale and retail trade [64]","13070"
"Ontario","Sales and account representatives - wholesale trade (non-technical) [641]","2770"
"Ontario","Sales and account representatives - wholesale trade (non-technical) [6411]","2770"
"Ontario","Retail salespersons [642]","10300"
"Ontario","Retail salespersons [6421]","10300"
"Ontario","Service representatives and other customer and personal services occupations [65]","17825"
"Ontario","Occupations in food and beverage service [651]","6800"
"Ontario","Maîtres d'hôtel and hosts/hostesses [6511]","600"
"Ontario","Bartenders [6512]","0"
"Ontario","Food and beverage servers [6513]","4465"
"Ontario","Occupations in travel and accommodation [652]","995"
"Ontario","Travel counsellors [6521]","0"
"Ontario","Pursers and flight attendants [6522]","0"
"Ontario","Airline ticket and service agents [6523]","0"
"Ontario","Ground and water transport ticket agents, cargo service representatives and related clerks [6524]","0"
"Ontario","Hotel front desk clerks [6525]","490"
"Ontario","Tourism and amusement services occupations [653]","80"
"Ontario","Tour and travel guides [6531]","0"
"Ontario","Outdoor sport and recreational guides [6532]","0"
"Ontario","Casino occupations [6533]","0"
"Ontario","Security guards and related security service occupations [654]","2385"
"Ontario","Security guards and related security service occupations [6541]","2385"
"Ontario","Customer and information services representatives [655]","6205"
"Ontario","Customer services representatives - financial institutions [6551]","975"
"Ontario","Other customer and information services representatives [6552]","5235"
"Ontario","Other occupations in personal service [656]","1355"
"Ontario","Image, social and other personal consultants [6561]","0"
"Ontario","Estheticians, electrologists and related occupations [6562]","990"
"Ontario","Pet groomers and animal care workers [6563]","365"
"Ontario","Other personal service occupations [6564]","0"
"Ontario","Sales support occupations [66]","5880"
"Ontario","Cashiers [661]","1775"
"Ontario","Cashiers [6611]","1775"
"Ontario","Other sales support and related occupations [662]","4110"
"Ontario","Service station attendants [6621]","0"
"Ontario","Store shelf stockers, clerks and order fillers [6622]","4000"
"Ontario","Other sales related occupations [6623]","0"
"Ontario","Service support and other service occupations, not elsewhere classified (n.e.c.) [67]","25420"
"Ontario","Food counter attendants, kitchen helpers and related support occupations [671]","15250"
"Ontario","Food counter attendants, kitchen helpers and related support occupations [6711]","15250"
"Ontario","Support occupations in accommodation, travel and amusement services [672]","1565"
"Ontario","Support occupations in accommodation, travel and facilities set-up services [6721]","0"
"Ontario","Operators and attendants in amusement, recreation and sport [6722]","1330"
"Ontario","Cleaners [673]","7955"
"Ontario","Light duty cleaners [6731]","4980"
"Ontario","Specialized cleaners [6732]","760"
"Ontario","Janitors, caretakers and building superintendents [6733]","2215"
"Ontario","Other service support and related occupations, not elsewhere classified (n.e.c.) [674]","645"
"Ontario","Dry cleaning, laundry and related occupations [6741]","205"
"Ontario","Other service support occupations, not elsewhere classified (n.e.c.) [6742]","440"
"Ontario","Trades, transport and equipment operators and related occupations [7]","42475"
"Ontario","Industrial, electrical and construction trades [72]","12925"
"Ontario","Contractors and supervisors, industrial, electrical and construction trades and related workers [720]","645"
"Ontario","Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations [7201]","0"
"Ontario","Contractors and supervisors, electrical trades and telecommunications occupations [7202]","0"
"Ontario","Contractors and supervisors, pipefitting trades [7203]","0"
"Ontario","Contractors and supervisors, carpentry trades [7204]","0"
"Ontario","Contractors and supervisors, other construction trades, installers, repairers and servicers [7205]","0"
"Ontario","Machining, metal forming, shaping and erecting trades [723]","4125"
"Ontario","Machinists and machining and tooling inspectors [7231]","940"
"Ontario","Tool and die makers [7232]","195"
"Ontario","Sheet metal workers [7233]","0"
"Ontario","Boilermakers [7234]","0"
"Ontario","Structural metal and platework fabricators and fitters [7235]","0"
"Ontario","Ironworkers [7236]","0"
"Ontario","Welders and related machine operators [7237]","2120"
"Ontario","Electrical trades and electrical power line and telecommunications workers [724]","1530"
"Ontario","Electricians (except industrial and power system) [7241]","915"
"Ontario","Industrial electricians [7242]","335"
"Ontario","Power system electricians [7243]","0"
"Ontario","Electrical power line and cable workers [7244]","15"
"Ontario","Telecommunications line and cable workers [7245]","0"
"Ontario","Telecommunications installation and repair workers [7246]","0"
"Ontario","Cable television service and maintenance technicians [7247]","0"
"Ontario","Plumbers, pipefitters and gas fitters [725]","845"
"Ontario","Plumbers [7251]","570"
"Ontario","Steamfitters, pipefitters and sprinkler system installers [7252]","145"
"Ontario","Gas fitters [7253]","0"
"Ontario","Carpenters and cabinetmakers [727]","2380"
"Ontario","Carpenters [7271]","2290"
"Ontario","Cabinetmakers [7272]","0"
"Ontario","Masonry and plastering trades [728]","1350"
"Ontario","Bricklayers [7281]","0"
"Ontario","Concrete finishers [7282]","0"
"Ontario","Tilesetters [7283]","0"
"Ontario","Plasterers, drywall installers and finishers and lathers [7284]","0"
"Ontario","Other construction trades [729]","2045"
"Ontario","Roofers and shinglers [7291]","1345"
"Ontario","Glaziers [7292]","0"
"Ontario","Insulators [7293]","0"
"Ontario","Painters and decorators (except interior decorators) [7294]","0"
"Ontario","Floor covering installers [7295]","0"
"Ontario","Maintenance and equipment operation trades [73]","8845"
"Ontario","Contractors and supervisors, maintenance trades and heavy equipment and transport operators [730]","470"
"Ontario","Contractors and supervisors, mechanic trades [7301]","180"
"Ontario","Contractors and supervisors, heavy equipment operator crews [7302]","0"
"Ontario","Supervisors, printing and related occupations [7303]","0"
"Ontario","Supervisors, railway transport operations [7304]","0"
"Ontario","Supervisors, motor transport and other ground transit operators [7305]","0"
"Ontario","Machinery and transportation equipment mechanics (except motor vehicles) [731]","3595"
"Ontario","Construction millwrights and industrial mechanics [7311]","1865"
"Ontario","Heavy-duty equipment mechanics [7312]","845"
"Ontario","Heating, refrigeration and air conditioning mechanics [7313]","520"
"Ontario","Railway carmen/women [7314]","0"
"Ontario","Aircraft mechanics and aircraft inspectors [7315]","155"
"Ontario","Machine fitters [7316]","50"
"Ontario","Elevator constructors and mechanics [7318]","0"
"Ontario","Automotive service technicians [732]","3835"
"Ontario","Automotive service technicians, truck and bus mechanics and mechanical repairers [7321]","3245"
"Ontario","Motor vehicle body repairers [7322]","590"
"Ontario","Other mechanics and related repairers [733]","500"
"Ontario","Oil and solid fuel heating mechanics [7331]","0"
"Ontario","Appliance servicers and repairers [7332]","0"
"Ontario","Electrical mechanics [7333]","85"
"Ontario","Motorcycle, all-terrain vehicle and other related mechanics [7334]","0"
"Ontario","Other small engine and small equipment repairers [7335]","0"
"Ontario","Train crew operating occupations [736]","0"
"Ontario","Railway and yard locomotive engineers [7361]","0"
"Ontario","Railway conductors and brakemen/women [7362]","0"
"Ontario","Crane operators, drillers and blasters [737]","175"
"Ontario","Crane operators [7371]","0"
"Ontario","Drillers and blasters - surface mining, quarrying and construction [7372]","0"
"Ontario","Water well drillers [7373]","0"
"Ontario","Printing press operators and other trades and related occupations, not elsewhere classified (n.e.c.) [738]","0"
"Ontario","Printing press operators [7381]","0"
"Ontario","Other trades and related occupations, not elsewhere classified (n.e.c.) [7384]","0"
"Ontario","Other installers, repairers and servicers and material handlers [74]","5710"
"Ontario","Other installers, repairers and servicers [744]","1345"
"Ontario","Residential and commercial installers and servicers [7441]","975"
"Ontario","Waterworks and gas maintenance workers [7442]","0"
"Ontario","Pest controllers and fumigators [7444]","0"
"Ontario","Other repairers and servicers [7445]","235"
"Ontario","Longshore workers and material handlers [745]","4365"
"Ontario","Longshore workers [7451]","0"
"Ontario","Material handlers [7452]","4365"
"Ontario","Transport and heavy equipment operation and related maintenance occupations [75]","9275"
"Ontario","Motor vehicle and transit drivers [751]","7455"
"Ontario","Transport truck drivers [7511]","5305"
"Ontario","Bus drivers, subway operators and other transit operators [7512]","955"
"Ontario","Taxi and limousine drivers and chauffeurs [7513]","0"
"Ontario","Delivery and courier service drivers [7514]","965"
"Ontario","Heavy equipment operators [752]","1025"
"Ontario","Heavy equipment operators (except crane) [7521]","700"
"Ontario","Public works maintenance equipment operators and related workers [7522]","325"
"Ontario","Other transport equipment operators and related maintenance workers [753]","795"
"Ontario","Railway yard and track maintenance workers [7531]","0"
"Ontario","Water transport deck and engine room crew [7532]","0"
"Ontario","Boat and cable ferry operators and related occupations [7533]","0"
"Ontario","Air transport ramp attendants [7534]","120"
"Ontario","Other automotive mechanical installers and servicers [7535]","660"
"Ontario","Trades helpers, construction labourers and related occupations [76]","5720"
"Ontario","Trades helpers and labourers [761]","5460"
"Ontario","Construction trades helpers and labourers [7611]","5235"
"Ontario","Other trades helpers and labourers [7612]","225"
"Ontario","Public works and other labourers, not elsewhere classified (n.e.c.) [762]","260"
"Ontario","Public works and maintenance labourers [7621]","155"
"Ontario","Railway and motor transport labourers [7622]","0"
"Ontario","Natural resources, agriculture and related production occupations [8]","4780"
"Ontario","Supervisors and technical occupations in natural resources, agriculture and related production [82]","495"
"Ontario","Supervisors, logging and forestry [821]","0"
"Ontario","Supervisors, logging and forestry [8211]","0"
"Ontario","Contractors and supervisors, mining, oil and gas [822]","0"
"Ontario","Supervisors, mining and quarrying [8221]","0"
"Ontario","Contractors and supervisors, oil and gas drilling and services [8222]","0"
"Ontario","Underground miners, oil and gas drillers and related occupations [823]","160"
"Ontario","Underground production and development miners [8231]","145"
"Ontario","Oil and gas well drillers, servicers, testers and related workers [8232]","0"
"Ontario","Logging machinery operators [824]","0"
"Ontario","Logging machinery operators [8241]","0"
"Ontario","Contractors and supervisors, agriculture, horticulture and related operations and services [825]","290"
"Ontario","Agricultural service contractors, farm supervisors and specialized livestock workers [8252]","75"
"Ontario","Contractors and supervisors, landscaping, grounds maintenance and horticulture services [8255]","0"
"Ontario","Fishing vessel masters and fishermen/women [826]","0"
"Ontario","Fishing masters and officers [8261]","0"
"Ontario","Fishermen/women [8262]","0"
"Ontario","Workers in natural resources, agriculture and related production [84]","2105"
"Ontario","Mine service workers and operators in oil and gas drilling [841]","35"
"Ontario","Underground mine service and support workers [8411]","20"
"Ontario","Oil and gas well drilling and related workers and services operators [8412]","0"
"Ontario","Logging and forestry workers [842]","0"
"Ontario","Chain saw and skidder operators [8421]","0"
"Ontario","Silviculture and forestry workers [8422]","0"
"Ontario","Agriculture and horticulture workers [843]","2040"
"Ontario","General farm workers [8431]","1610"
"Ontario","Nursery and greenhouse workers [8432]","430"
"Ontario","Other workers in fishing and trapping and hunting occupations [844]","0"
"Ontario","Fishing vessel deckhands [8441]","0"
"Ontario","Trappers and hunters [8442]","0"
"Ontario","Harvesting, landscaping and natural resources labourers [86]","2180"
"Ontario","Harvesting, landscaping and natural resources labourers [861]","2180"
"Ontario","Harvesting labourers [8611]","335"
"Ontario","Landscaping and grounds maintenance labourers [8612]","1820"
"Ontario","Aquaculture and marine harvest labourers [8613]","0"
"Ontario","Mine labourers [8614]","0"
"Ontario","Oil and gas drilling, servicing and related labourers [8615]","0"
"Ontario","Logging and forestry labourers [8616]","0"
"Ontario","Occupations in manufacturing and utilities [9]","9645"
"Ontario","Processing, manufacturing and utilities supervisors and central control operators [92]","580"
"Ontario","Supervisors, processing and manufacturing occupations [921]","175"
"Ontario","Supervisors, mineral and metal processing [9211]","15"
"Ontario","Supervisors, petroleum, gas and chemical processing and utilities [9212]","35"
"Ontario","Supervisors, food and beverage processing [9213]","35"
"Ontario","Supervisors, plastic and rubber products manufacturing [9214]","0"
"Ontario","Supervisors, forest products processing [9215]","35"
"Ontario","Supervisors, textile, fabric, fur and leather products processing and manufacturing [9217]","0"
"Ontario","Supervisors, assembly and fabrication [922]","90"
"Ontario","Supervisors, motor vehicle assembling [9221]","0"
"Ontario","Supervisors, electronics manufacturing [9222]","0"
"Ontario","Supervisors, electrical products manufacturing [9223]","0"
"Ontario","Supervisors, furniture and fixtures manufacturing [9224]","0"
"Ontario","Supervisors, other mechanical and metal products manufacturing [9226]","25"
"Ontario","Supervisors, other products manufacturing and assembly [9227]","10"
"Ontario","Central control and process operators in processing and manufacturing [923]","0"
"Ontario","Central control and process operators, mineral and metal processing [9231]","5"
"Ontario","Central control and process operators, petroleum, gas and chemical processing [9232]","0"
"Ontario","Pulping, papermaking and coating control operators [9235]","0"
"Ontario","Utilities equipment operators and controllers [924]","285"
"Ontario","Power engineers and power systems operators [9241]","195"
"Ontario","Water and waste treatment plant operators [9243]","90"
"Ontario","Processing and manufacturing machine operators and related production workers [94]","2945"
"Ontario","Machine operators and related workers in mineral and metal products processing and manufacturing [941]","950"
"Ontario","Machine operators, mineral and metal processing [9411]","0"
"Ontario","Foundry workers [9412]","0"
"Ontario","Glass forming and finishing machine operators and glass cutters [9413]","0"
"Ontario","Concrete, clay and stone forming operators [9414]","0"
"Ontario","Inspectors and testers, mineral and metal processing [9415]","0"
"Ontario","Metalworking and forging machine operators [9416]","240"
"Ontario","Machining tool operators [9417]","285"
"Ontario","Other metal products machine operators [9418]","0"
"Ontario","Machine operators and related workers in chemical, plastic and rubber processing [942]","505"
"Ontario","Chemical plant machine operators [9421]","80"
"Ontario","Plastics processing machine operators [9422]","350"
"Ontario","Rubber processing machine operators and related workers [9423]","0"
"Ontario","Machine operators and related workers in pulp and paper production and wood processing and manufacturing [943]","105"
"Ontario","Sawmill machine operators [9431]","15"
"Ontario","Pulp mill machine operators [9432]","0"
"Ontario","Papermaking and finishing machine operators [9433]","0"
"Ontario","Other wood processing machine operators [9434]","0"
"Ontario","Paper converting machine operators [9435]","50"
"Ontario","Lumber graders and other wood processing inspectors and graders [9436]","0"
"Ontario","Woodworking machine operators [9437]","0"
"Ontario","Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing [944]","310"
"Ontario","Textile fibre and yarn, hide and pelt processing machine operators and workers [9441]","0"
"Ontario","Weavers, knitters and other fabric making occupations [9442]","0"
"Ontario","Fabric, fur and leather cutters [9445]","0"
"Ontario","Industrial sewing machine operators [9446]","0"
"Ontario","Inspectors and graders, textile, fabric, fur and leather products manufacturing [9447]","0"
"Ontario","Machine operators and related workers in food, beverage and associated products processing [946]","890"
"Ontario","Process control and machine operators, food and beverage processing [9461]","730"
"Ontario","Industrial butchers and meat cutters, poultry preparers and related workers [9462]","125"
"Ontario","Fish and seafood plant workers [9463]","0"
"Ontario","Testers and graders, food and beverage processing [9465]","0"
"Ontario","Printing equipment operators and related occupations [947]","0"
"Ontario","Plateless printing equipment operators [9471]","0"
"Ontario","Camera, platemaking and other prepress occupations [9472]","0"
"Ontario","Binding and finishing machine operators [9473]","0"
"Ontario","Photographic and film processors [9474]","0"
"Ontario","Assemblers in manufacturing [95]","2475"
"Ontario","Mechanical, electrical and electronics assemblers [952]","1550"
"Ontario","Aircraft assemblers and aircraft assembly inspectors [9521]","0"
"Ontario","Motor vehicle assemblers, inspectors and testers [9522]","810"
"Ontario","Electronics assemblers, fabricators, inspectors and testers [9523]","60"
"Ontario","Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing [9524]","0"
"Ontario","Assemblers, fabricators and inspectors, industrial electrical motors and transformers [9525]","0"
"Ontario","Mechanical assemblers and inspectors [9526]","345"
"Ontario","Machine operators and inspectors, electrical apparatus manufacturing [9527]","0"
"Ontario","Other assembly and related occupations [953]","930"
"Ontario","Boat assemblers and inspectors [9531]","0"
"Ontario","Furniture and fixture assemblers and inspectors [9532]","0"
"Ontario","Other wood products assemblers and inspectors [9533]","0"
"Ontario","Furniture finishers and refinishers [9534]","0"
"Ontario","Plastic products assemblers, finishers and inspectors [9535]","0"
"Ontario","Industrial painters, coaters and metal finishing process operators [9536]","310"
"Ontario","Other products assemblers, finishers and inspectors [9537]","280"
"Ontario","Labourers in processing, manufacturing and utilities [96]","3640"
"Ontario","Labourers in processing, manufacturing and utilities [961]","3640"
"Ontario","Labourers in mineral and metal processing [9611]","240"
"Ontario","Labourers in metal fabrication [9612]","625"
"Ontario","Labourers in chemical products processing and utilities [9613]","0"
"Ontario","Labourers in wood, pulp and paper processing [9614]","205"
