"GEO","National Occupational Classification (NOC)","VALUE"
"Nova Scotia","Professional occupations in health [31]","21.6"
"Nova Scotia","Health treating and consultation services professionals [311]","7.4"
"Nova Scotia","Therapy and assessment professionals [312]","4.1"
"Nova Scotia","Nursing and allied health professionals [313]","10.0"
"Nova Scotia","Technical occupations in health [32]","13.9"
"Nova Scotia","Assisting occupations in support of health services [33]","15.2"
"Nova Scotia","Occupations in education, law and social, community and government services, except management [41-45]","60.9"
"Nova Scotia","Professional occupations in law, education, social, community and government services [41]","37.7"
"Nova Scotia","Professional occupations in law [411]","3.3"
"Nova Scotia","Professional occupations in education services [412]","17.9"
"Nova Scotia","Professional occupations in social and community services [413]","5.5"
"Nova Scotia","Professional occupations in government services [414]","11.0"
"Nova Scotia","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","13.1"
"Nova Scotia","Occupations in front-line public protection services [421]","2.0"
"Nova Scotia","Paraprofessional occupations in legal, social, community and education services [422]","11.1"
"Nova Scotia","Assisting occupations in education and in legal and public protection [43]","7.2"
"Nova Scotia","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","2.9"
"Nova Scotia","Occupations in art, culture, recreation and sport, except management [51-55]","19.5"
"Nova Scotia","Professional occupations in art and culture [51]","4.5"
"Nova Scotia","Technical occupations in art, culture and sport [52]","4.5"
"Nova Scotia","Occupations in art, culture and sport [53]","3.8"
"Nova Scotia","Support occupations in art, culture and sport [54-55]","6.6"
"Nova Scotia","Sales and service occupations, except management [62-65]","125.1"
"Nova Scotia","Retail sales and service supervisors and specialized occupations in sales and services [62]","22.1"
"Nova Scotia","Occupations in sales and services [63]","14.9"
"Nova Scotia","Sales and service representatives and other customer and personal services occupations [64]","35.7"
"Nova Scotia","Sales and service support occupations [65]","52.4"
"Nova Scotia","Trades, transport and equipment operators and related occupations, except management [72-75]","76.9"
"Nova Scotia","Technical trades and transportation officers and controllers [72]","37.5"
"Nova Scotia","General trades [73]","16.5"
"Nova Scotia","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","5.0"
"Nova Scotia","Helpers and labourers and other transport drivers, operators and labourers [75]","17.9"
"Nova Scotia","Natural resources, agriculture and related production occupations, except management [82-85]","19.7"
"Nova Scotia","Supervisors and occupations in natural resources, agriculture and related production [82-83]","6.5"
"Nova Scotia","Workers and labourers in natural resources, agriculture and related production [84-85]","13.2"
"Nova Scotia","Occupations in manufacturing and utilities, except management [92-95]","22.4"
"Nova Scotia","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","7.6"
"Nova Scotia","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","9.6"
"Nova Scotia","Labourers in processing, manufacturing and utilities [95]","5.2"
"Nova Scotia","Unclassified occupations","13.0"
"New Brunswick","Total, all occupations [00-95]","424.3"
"New Brunswick","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","29.3"
"New Brunswick","Legislative and senior management occupations [00]","0.5"
"New Brunswick","Specialized middle management occupations [10, 20, 30, 40, 50]","11.3"
"New Brunswick","Middle management occupations in retail and wholesale trade and customer services [60]","9.8"
"New Brunswick","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","7.8"
"New Brunswick","Business, finance and administration occupations, except management [11-14]","63.5"
"New Brunswick","Professional occupations in finance and business [11]","17.6"
"New Brunswick","Professional occupations in finance [111]","6.9"
"New Brunswick","Professional occupations in business [112]","10.7"
"New Brunswick","Administrative and financial supervisors and specialized administrative occupations [12]","15.3"
"New Brunswick","Administrative occupations and transportation logistics occupations [13]","15.9"
"New Brunswick","Administrative and financial support and supply chain logistics occupations [14]","14.7"
"New Brunswick","Natural and applied sciences and related occupations, except management [21-22]","31.7"
"New Brunswick","Professional occupations in natural and applied sciences [21]","18.7"
"New Brunswick","Professional occupations in natural sciences [211]","2.5"
"New Brunswick","Professional occupations in applied sciences (except engineering) [212]","12.3"
"New Brunswick","Professional occupations in engineering [213]","4.0"
"New Brunswick","Technical occupations related to natural and applied sciences [22]","12.9"
"New Brunswick","Health occupations, except management [31-33]","36.9"
"New Brunswick","Professional occupations in health [31]","14.1"
"New Brunswick","Health treating and consultation services professionals [311]","4.2"
"New Brunswick","Therapy and assessment professionals [312]","1.7"
"New Brunswick","Nursing and allied health professionals [313]","8.2"
"New Brunswick","Technical occupations in health [32]","9.7"
"New Brunswick","Assisting occupations in support of health services [33]","13.1"
"New Brunswick","Occupations in education, law and social, community and government services, except management [41-45]","49.5"
"New Brunswick","Professional occupations in law, education, social, community and government services [41]","28.8"
"New Brunswick","Professional occupations in law [411]","2.8"
"New Brunswick","Professional occupations in education services [412]","14.5"
"New Brunswick","Professional occupations in social and community services [413]","7.4"
"New Brunswick","Professional occupations in government services [414]","4.0"
"New Brunswick","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","13.5"
"New Brunswick","Occupations in front-line public protection services [421]","2.4"
"New Brunswick","Paraprofessional occupations in legal, social, community and education services [422]","11.1"
"New Brunswick","Assisting occupations in education and in legal and public protection [43]","4.4"
"New Brunswick","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","2.9"
"New Brunswick","Occupations in art, culture, recreation and sport, except management [51-55]","7.0"
"New Brunswick","Professional occupations in art and culture [51]","2.2"
"New Brunswick","Technical occupations in art, culture and sport [52]","1.6"
"New Brunswick","Occupations in art, culture and sport [53]","0.9"
"New Brunswick","Support occupations in art, culture and sport [54-55]","2.3"
"New Brunswick","Sales and service occupations, except management [62-65]","97.2"
"New Brunswick","Retail sales and service supervisors and specialized occupations in sales and services [62]","16.9"
"New Brunswick","Occupations in sales and services [63]","13.5"
"New Brunswick","Sales and service representatives and other customer and personal services occupations [64]","30.4"
"New Brunswick","Sales and service support occupations [65]","36.4"
"New Brunswick","Trades, transport and equipment operators and related occupations, except management [72-75]","72.9"
"New Brunswick","Technical trades and transportation officers and controllers [72]","33.8"
"New Brunswick","General trades [73]","21.1"
"New Brunswick","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","3.3"
"New Brunswick","Helpers and labourers and other transport drivers, operators and labourers [75]","14.8"
"New Brunswick","Natural resources, agriculture and related production occupations, except management [82-85]","13.8"
"New Brunswick","Supervisors and occupations in natural resources, agriculture and related production [82-83]","4.8"
"New Brunswick","Workers and labourers in natural resources, agriculture and related production [84-85]","9.0"
"New Brunswick","Occupations in manufacturing and utilities, except management [92-95]","15.0"
"New Brunswick","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","3.8"
"New Brunswick","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","7.9"
"New Brunswick","Labourers in processing, manufacturing and utilities [95]","3.4"
"New Brunswick","Unclassified occupations","7.4"
"Quebec","Total, all occupations [00-95]","4793.0"
"Quebec","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","393.2"
